          234         464
     2.0642  -122.9862    -0.3509nan        nan        nan        
     0.5197  -122.6279     0.1343     0.4801     0.8771    -0.0126
    -1.4776  -123.7089     5.1204nan        nan        nan        
    -3.0086  -124.7083     7.2575nan        nan        nan        
    -0.9104  -125.8967     6.1282     0.1664     0.9592    -0.2285
     3.7720  -125.5889     7.3510    -0.1531     0.9764    -0.1520
     3.7311  -122.9892    -0.8532    -0.3099     0.9467     0.0874
     6.0433  -123.5651    -7.1122    -0.3625     0.9271    -0.0950
     5.0950  -123.7800    -9.4368    -0.2784     0.8833     0.3773
     1.0736  -124.0814    -9.1428     0.1451     0.8292     0.5398
    -2.0481  -123.5763    -6.6124     0.3822     0.8288     0.4087
    -0.8681  -123.8930    -4.4705     0.2266     0.9721    -0.0611
     0.2355  -123.2362    -1.8807     0.4524     0.7744    -0.4422
    -0.7536  -121.7318    -0.2968     0.7095     0.6924     0.1308
    -4.0316  -121.9493     3.9666     0.6049     0.5405     0.5847
    -6.6013  -122.9070     6.8267     0.7263     0.6349     0.2633
    -3.5911  -122.1120    11.4660     0.2501     0.7290    -0.6372
     0.6092  -122.7044     9.7383    -0.1669     0.5341    -0.8288
     7.5985  -123.0669     8.6380    -0.6447     0.5800    -0.4979
     6.5737  -121.4518    -0.4783    -0.7765     0.6291    -0.0367
     8.9212  -121.2378    -8.2958    -0.8268     0.5303     0.1876
     6.0235  -120.3044   -11.0826    -0.3073     0.3613     0.8804
     0.4269  -121.1179   -10.7579     0.1835     0.5595     0.8082
    -2.7603  -121.1849    -8.8382     0.5217     0.6264     0.5791
    -5.1696  -122.4981    -6.4173     0.7145     0.6995     0.0099
    -1.6112  -121.5751    -3.0466     0.7481     0.4580    -0.4802
    -2.1465  -119.3172    -0.0658     0.9821     0.0733     0.1737
    -4.4363  -119.2595     3.9945     0.8149     0.0453     0.5779
    -8.8627  -119.6056     8.7118     0.9711     0.2344     0.0461
    -4.0515  -118.4797    13.6898     0.1068     0.0252    -0.9940
     1.5995  -120.0287    10.2312    -0.4142    -0.1566    -0.8966
     8.2632  -119.9482     7.2669    -0.8638    -0.1237    -0.4884
     7.6451  -119.0900    -0.8238    -0.9961     0.0290    -0.0831
     9.4851  -117.8197    -8.9419    -0.9536    -0.1290     0.2718
     6.2433  -116.9112   -11.8355    -0.5644     0.2021     0.8004
     0.9445  -118.8305   -12.8693     0.0766     0.5723     0.8165
    -3.0718  -119.7969    -9.7338     0.5420     0.4178     0.7292
    -6.3874  -118.5687    -6.9907     0.9355     0.3532     0.0079
    -3.4289  -118.4159    -3.1248     0.8257     0.0419    -0.5625
    -2.0497  -116.1384    -0.7392     0.8935    -0.4134     0.1755
    -3.8152  -115.3778     3.5477     0.7362    -0.3843     0.5571
    -8.2985  -115.9053     8.6630     0.8921    -0.4519     0.0038
    -3.3588  -114.8795    10.9191     0.0071    -0.6467    -0.7627
